Tid;Kanal A
(ns);(mV)

-3,99999989;7,51107200
-3,89999989;7,59104300
-3,79999989;7,66486200
-3,69999990;7,72791500
-3,59999990;7,77866600
-3,49999990;7,81250000
-3,39999990;7,83249200
-3,29999991;7,85094600
-3,19999991;7,87709100
-3,09999991;7,91400100
-2,99999992;7,96475100
-2,89999992;8,02626700
-2,79999992;8,09239700
-2,69999992;8,15698700
-2,59999993;8,21235200
-2,49999993;8,25387500
-2,39999993;8,28155700
-2,29999993;8,30770100
-2,19999994;8,33845900
-2,09999994;8,37998200
-1,99999994;8,43227000
-1,89999995;8,49378600
-1,79999995;8,55991600
-1,69999995;8,62604500
-1,59999995;8,68294700
-1,49999996;8,72293300
-1,39999996;8,75061400
-1,29999996;8,77522100
-1,19999997;8,80444000
-1,09999997;8,84596300
-0,99999997;8,89979100
-0,89999997;8,96745800
-0,79999998;9,04127600
-0,69999998;9,11509600
-0,59999998;9,18276300
-0,49999999;9,23043700
-0,39999999;9,26273300
-0,29999999;9,28580200
-0,19999999;9,30579400
-0,10000000;9,32732500
0,00000000;9,35039300
0,10000000;9,37192300
0,19999999;9,38884000
0,29999999;9,39499200
0,39999999;9,38884000
0,49999999;9,36577200
0,59999998;9,33040000
0,69999998;9,30271800
0,79999998;9,29349100
0,89999997;9,31502200
0,99999997;9,37192300
1,09999997;9,46266000
1,19999997;9,58107800
1,29999996;9,71487400
1,39999996;9,85174700
1,49999996;9,97324100
1,59999995;10,07167000
1,69999995;10,15164000
1,79999995;10,21315000
1,89999995;10,25775000
1,99999994;10,28543000
2,09999994;10,29774000
2,19999994;10,29158000
2,29999993;10,26390000
2,39999993;10,21623000
2,49999993;10,14395000
2,59999993;10,05321000
2,69999992;9,96247400
2,79999992;9,88250400
2,89999992;9,82560300
2,99999992;9,79330600
3,09999991;9,78715500
3,19999991;9,79945900
3,29999991;9,82252600
3,39999990;9,84405700
3,49999990;9,85174700
3,59999990;9,84405700
3,69999990;9,82867800
3,79999989;9,81329900
3,89999989;9,80561000
3,99999989;9,81022400
4,09999988;9,82560300
4,19999988;9,85328400
4,29999988;9,88250400
4,39999988;9,90864800
4,49999987;9,91633800
4,59999987;9,90557200
4,69999987;9,88096700
4,79999986;9,85174700
4,89999986;9,82098900
4,99999986;9,79176800
5,09999986;9,76254800
5,19999985;9,73025300
5,29999985;9,69334300
5,39999985;9,64566800
5,49999984;9,58107800
5,59999984;9,50418300
5,69999984;9,43036400
5,79999984;9,37346200
5,89999983;9,34270400
5,99999983;9,34270400
6,09999983;9,37346200
6,19999982;9,43036400
6,29999982;9,50418300
6,39999982;9,58107800
6,49999982;9,64566800
6,59999981;9,69334300
6,69999981;9,73025300
6,79999981;9,76254800
6,89999980;9,79176800
6,99999980;9,82098900
7,09999980;9,85174700
7,19999980;9,88096700
7,29999979;9,90557200
7,39999979;9,91633800
7,49999979;9,90864800
7,59999979;9,88250400
7,69999978;9,85174700
7,79999978;9,82406400
7,89999978;9,80868500
7,99999977;9,80868500
8,09999977;9,82406400
8,19999977;9,85174700
8,29999977;9,88250400
8,39999976;9,90864800
8,49999976;9,91633800
8,59999976;9,90557200
8,69999975;9,88096700
8,79999975;9,85174700
8,89999975;9,82098900
8,99999975;9,79176800
9,09999974;9,76254800
9,19999974;9,73025300
9,29999974;9,69334300
9,39999973;9,64566800
9,49999973;9,58107800
9,59999973;9,50418300
9,69999973;9,43036400
9,79999972;9,37346200
9,89999972;9,34270400
