Tid;Kanal A
(ns);(V)

-3,99999989;1,04933600
-3,89999989;1,05136600
-3,79999989;1,05394900
-3,69999990;1,05641000
-3,59999990;1,05807100
-3,49999990;1,05770200
-3,39999990;1,05554900
-3,29999991;1,05278100
-3,19999991;1,05025800
-3,09999991;1,04884400
-2,99999992;1,04884400
-2,89999992;1,05025800
-2,79999992;1,05278100
-2,69999992;1,05554900
-2,59999993;1,05770200
-2,49999993;1,05807100
-2,39999993;1,05641000
-2,29999993;1,05394900
-2,19999994;1,05136600
-2,09999994;1,04933600
-1,99999994;1,04816700
-1,89999995;1,04798200
-1,79999995;1,04841300
-1,69999995;1,04872000
-1,59999995;1,04829000
-1,49999996;1,04601400
-1,39999996;1,04201500
-1,29999996;1,03752500
-1,19999997;1,03346500
-1,09999997;1,03063500
-0,99999997;1,02952800
-0,89999997;1,03008100
-0,79999998;1,03192700
-0,69999998;1,03426400
-0,59999998;1,03623300
-0,49999999;1,03654000
-0,39999999;1,03512500
-0,29999999;1,03309500
-0,19999999;1,03112700
-0,10000000;1,03002000
0,00000000;1,03008100
0,10000000;1,03137300
0,19999999;1,03358800
0,29999999;1,03592500
0,39999999;1,03770900
0,49999999;1,03770900
0,59999998;1,03592500
0,69999998;1,03352600
0,79999998;1,03137300
0,89999997;1,03002000
0,99999997;1,03002000
1,09999997;1,03137300
1,19999997;1,03352600
1,29999996;1,03592500
1,39999996;1,03770900
1,49999996;1,03770900
1,59999995;1,03592500
1,69999995;1,03358800
1,79999995;1,03137300
1,89999995;1,03008100
1,99999994;1,03002000
2,09999994;1,03112700
2,19999994;1,03309500
2,29999993;1,03512500
2,39999993;1,03654000
2,49999993;1,03623300
2,59999993;1,03426400
2,69999992;1,03192700
2,79999992;1,03008100
2,89999992;1,02952800
2,99999992;1,03063500
3,09999991;1,03346500
3,19999991;1,03752500
3,29999991;1,04201500
3,39999990;1,04601400
3,49999990;1,04829000
3,59999990;1,04872000
3,69999990;1,04835100
3,79999989;1,04798200
3,89999989;1,04816700
3,99999989;1,04933600
4,09999988;1,05155000
4,19999988;1,05444100
4,29999988;1,05721000
4,39999988;1,05917800
4,49999987;1,05917800
4,59999987;1,05721000
4,69999987;1,05444100
4,79999986;1,05155000
4,89999986;1,04933600
4,99999986;1,04816700
5,09999986;1,04798200
5,19999985;1,04835100
5,29999985;1,04872000
5,39999985;1,04829000
5,49999984;1,04601400
5,59999984;1,04201500
5,69999984;1,03752500
5,79999984;1,03346500
5,89999983;1,03063500
5,99999983;1,02952800
6,09999983;1,03008100
6,19999982;1,03192700
6,29999982;1,03426400
6,39999982;1,03623300
6,49999982;1,03654000
6,59999981;1,03512500
6,69999981;1,03309500
6,79999981;1,03118800
6,89999980;1,03002000
6,99999980;1,03002000
7,09999980;1,03118800
7,19999980;1,03309500
7,29999979;1,03512500
7,39999979;1,03654000
7,49999979;1,03623300
7,59999979;1,03426400
7,69999978;1,03192700
7,79999978;1,03008100
7,89999978;1,02952800
7,99999977;1,03069600
8,09999977;1,03364900
8,19999977;1,03795500
8,29999977;1,04275300
8,39999976;1,04712100
8,49999976;1,04976600
8,59999976;1,05038100
8,69999975;1,05001200
8,79999975;1,04927400
8,89999975;1,04872000
8,99999975;1,04872000
9,09999974;1,04927400
9,19999974;1,05001200
9,29999974;1,05038100
9,39999973;1,04976600
9,49999973;1,04712100
9,59999973;1,04275300
9,69999973;1,03795500
9,79999972;1,03364900
9,89999972;1,03069600
