Tid;Kanal A
(ns);(V)

-3,99999989;1,46087600
-3,89999989;1,46272100
-3,79999989;1,46579700
-3,69999990;1,46918100
-3,59999990;1,47170300
-3,49999990;1,47170300
-3,39999990;1,46918100
-3,29999991;1,46579700
-3,19999991;1,46272100
-3,09999991;1,46087600
-2,99999992;1,46087600
-2,89999992;1,46272100
-2,79999992;1,46579700
-2,69999992;1,46918100
-2,59999993;1,47170300
-2,49999993;1,47170300
-2,39999993;1,46918100
-2,29999993;1,46579700
-2,19999994;1,46272100
-2,09999994;1,46087600
-1,99999994;1,46087600
-1,89999995;1,46272100
-1,79999995;1,46579700
-1,69999995;1,46918100
-1,59999995;1,47170300
-1,49999996;1,47170300
-1,39999996;1,46918100
-1,29999996;1,46579700
-1,19999997;1,46272100
-1,09999997;1,46087600
-0,99999997;1,46087600
-0,89999997;1,46272100
-0,79999998;1,46579700
-0,69999998;1,46918100
-0,59999998;1,47170300
-0,49999999;1,47170300
-0,39999999;1,46918100
-0,29999999;1,46579700
-0,19999999;1,46272100
-0,10000000;1,46087600
0,00000000;1,46087600
0,10000000;1,46272100
0,19999999;1,46579700
0,29999999;1,46918100
0,39999999;1,47170300
0,49999999;1,47170300
0,59999998;1,46918100
0,69999998;1,46579700
0,79999998;1,46272100
0,89999997;1,46087600
0,99999997;1,46087600
1,09999997;1,46272100
1,19999997;1,46579700
1,29999996;1,46918100
1,39999996;1,47170300
1,49999996;1,47170300
1,59999995;1,46918100
1,69999995;1,46579700
1,79999995;1,46272100
1,89999995;1,46087600
1,99999994;1,46087600
2,09999994;1,46272100
2,19999994;1,46579700
2,29999993;1,46918100
2,39999993;1,47170300
2,49999993;1,47170300
2,59999993;1,46918100
2,69999992;1,46579700
2,79999992;1,46272100
2,89999992;1,46087600
2,99999992;1,46087600
3,09999991;1,46272100
3,19999991;1,46579700
3,29999991;1,46918100
3,39999990;1,47170300
3,49999990;1,47170300
3,59999990;1,46918100
3,69999990;1,46579700
3,79999989;1,46272100
3,89999989;1,46087600
3,99999989;1,46087600
4,09999988;1,46272100
4,19999988;1,46579700
4,29999988;1,46918100
4,39999988;1,47170300
4,49999987;1,47170300
4,59999987;1,46918100
4,69999987;1,46579700
4,79999986;1,46272100
4,89999986;1,46087600
4,99999986;1,46087600
5,09999986;1,46272100
5,19999985;1,46579700
5,29999985;1,46918100
5,39999985;1,47170300
5,49999984;1,47170300
5,59999984;1,46918100
5,69999984;1,46579700
5,79999984;1,46272100
5,89999983;1,46087600
5,99999983;1,46087600
6,09999983;1,46272100
6,19999982;1,46579700
6,29999982;1,46918100
6,39999982;1,47170300
6,49999982;1,47170300
6,59999981;1,46918100
6,69999981;1,46579700
6,79999981;1,46272100
6,89999980;1,46087600
6,99999980;1,46087600
7,09999980;1,46272100
7,19999980;1,46579700
7,29999979;1,46918100
7,39999979;1,47170300
7,49999979;1,47170300
7,59999979;1,46918100
7,69999978;1,46579700
7,79999978;1,46272100
7,89999978;1,46087600
7,99999977;1,46087600
8,09999977;1,46272100
8,19999977;1,46579700
8,29999977;1,46918100
8,39999976;1,47170300
8,49999976;1,47170300
8,59999976;1,46918100
8,69999975;1,46579700
8,79999975;1,46272100
8,89999975;1,46087600
8,99999975;1,46087600
9,09999974;1,46272100
9,19999974;1,46579700
9,29999974;1,46918100
9,39999973;1,47170300
9,49999973;1,47170300
9,59999973;1,46918100
9,69999973;1,46579700
9,79999972;1,46266000
9,89999972;1,46081400
