Tid;Kanal A
(ns);(V)

-3,99999989;3,72493200
-3,89999989;3,72816200
-3,79999989;3,73585100
-3,69999990;3,74523300
-3,59999990;3,75292200
-3,49999990;3,75461400
-3,39999990;3,74953900
-3,29999991;3,74169500
-3,19999991;3,73354500
-3,09999991;3,72739300
-2,99999992;3,72462500
-2,89999992;3,72508600
-2,79999992;3,72770000
-2,69999992;3,73031500
-2,59999993;3,73016100
-2,49999993;3,72354800
-2,39999993;3,71109100
-2,29999993;3,69755800
-2,19999994;3,68587000
-2,09999994;3,67941100
-1,99999994;3,67941100
-1,89999995;3,68587000
-1,79999995;3,69755800
-1,69999995;3,71109100
-1,59999995;3,72354800
-1,49999996;3,73016100
-1,39999996;3,73016100
-1,29999996;3,72770000
-1,19999997;3,72493200
-1,09999997;3,72447100
-0,99999997;3,72754700
-0,89999997;3,73400600
-0,79999998;3,74292600
-0,69999998;3,75153800
-0,59999998;3,75738200
-0,49999999;3,75661300
-0,39999999;3,74938500
-0,29999999;3,73985000
-0,19999999;3,73139100
-0,10000000;3,72631600
0,00000000;3,72600900
0,10000000;3,73077600
0,19999999;3,73877300
0,29999999;3,74738600
0,39999999;3,75384500
0,49999999;3,75384500
0,59999998;3,74738600
0,69999998;3,73877300
0,79999998;3,73077600
0,89999997;3,72616300
0,99999997;3,72616300
1,09999997;3,73077600
1,19999997;3,73877300
1,29999996;3,74738600
1,39999996;3,75384500
1,49999996;3,75384500
1,59999995;3,74738600
1,69999995;3,73877300
1,79999995;3,73077600
1,89999995;3,72616300
1,99999994;3,72616300
2,09999994;3,73077600
2,19999994;3,73877300
2,29999993;3,74738600
2,39999993;3,75384500
2,49999993;3,75384500
2,59999993;3,74738600
2,69999992;3,73877300
2,79999992;3,73077600
2,89999992;3,72616300
2,99999992;3,72616300
3,09999991;3,73077600
3,19999991;3,73877300
3,29999991;3,74738600
3,39999990;3,75384500
3,49999990;3,75384500
3,59999990;3,74738600
3,69999990;3,73877300
3,79999989;3,73077600
3,89999989;3,72616300
3,99999989;3,72616300
4,09999988;3,73077600
4,19999988;3,73877300
4,29999988;3,74738600
4,39999988;3,75384500
4,49999987;3,75384500
4,59999987;3,74738600
4,69999987;3,73877300
4,79999986;3,73077600
4,89999986;3,72616300
4,99999986;3,72616300
5,09999986;3,73077600
5,19999985;3,73877300
5,29999985;3,74738600
5,39999985;3,75384500
5,49999984;3,75384500
5,59999984;3,74738600
5,69999984;3,73877300
5,79999984;3,73077600
5,89999983;3,72616300
5,99999983;3,72616300
6,09999983;3,73077600
6,19999982;3,73877300
6,29999982;3,74738600
6,39999982;3,75384500
6,49999982;3,75384500
6,59999981;3,74738600
6,69999981;3,73877300
6,79999981;3,73077600
6,89999980;3,72600900
6,99999980;3,72631600
7,09999980;3,73139100
7,19999980;3,73985000
7,29999979;3,74938500
7,39999979;3,75661300
7,49999979;3,75738200
7,59999979;3,75153800
7,69999978;3,74277200
7,79999978;3,73400600
7,89999978;3,72739300
7,99999977;3,72462500
8,09999977;3,72554800
8,19999977;3,72877700
8,29999977;3,73216000
8,39999976;3,73292900
8,49999976;3,72723900
8,59999976;3,71524400
8,69999975;3,70155600
8,79999975;3,68925300
8,89999975;3,68064100
8,99999975;3,67771900
9,09999974;3,68002600
9,19999974;3,68633100
9,29999974;3,69402100
9,39999973;3,69986500
9,49999973;3,69986500
9,59999973;3,69402100
9,69999973;3,68633100
9,79999972;3,68002600
9,89999972;3,67771900
