Tid;Kanal A
(ns);(mV)

-3,99999989;6,54988900
-3,89999989;6,57603300
-3,79999989;6,59910100
-3,69999990;6,61601800
-3,59999990;6,62216900
-3,49999990;6,61448000
-3,39999990;6,59448800
-3,29999991;6,57141900
-3,19999991;6,55142700
-3,09999991;6,53912400
-2,99999992;6,53604800
-2,89999992;6,54527500
-2,79999992;6,55911600
-2,69999992;6,57449500
-2,59999993;6,58526000
-2,49999993;6,58526000
-2,39999993;6,57449500
-2,29999993;6,55911600
-2,19999994;6,54527500
-2,09999994;6,53758600
-1,99999994;6,53758600
-1,89999995;6,54527500
-1,79999995;6,55911600
-1,69999995;6,57449500
-1,59999995;6,58526000
-1,49999996;6,58526000
-1,39999996;6,57449500
-1,29999996;6,55911600
-1,19999997;6,54527500
-1,09999997;6,53758600
-0,99999997;6,53758600
-0,89999997;6,54527500
-0,79999998;6,55911600
-0,69999998;6,57449500
-0,59999998;6,58526000
-0,49999999;6,58526000
-0,39999999;6,57449500
-0,29999999;6,55911600
-0,19999999;6,54527500
-0,10000000;6,53758600
0,00000000;6,53758600
0,10000000;6,54527500
0,19999999;6,55911600
0,29999999;6,57449500
0,39999999;6,58526000
0,49999999;6,58526000
0,59999998;6,57449500
0,69999998;6,56065400
0,79999998;6,54681300
0,89999997;6,53758600
0,99999997;6,53604800
1,09999997;6,54066100
1,19999997;6,54835100
1,29999996;6,55604000
1,39999996;6,55757800
1,49999996;6,54988900
1,59999995;6,53297200
1,69999995;6,51913100
1,79999995;6,51451700
1,89999995;6,52528200
1,99999994;6,55296500
2,09999994;6,59910100
2,19999994;6,65908000
2,29999993;6,72520900
2,39999993;6,79287600
2,49999993;6,84977800
2,59999993;6,89283900
2,69999992;6,92974900
2,79999992;6,96050600
2,89999992;6,98972700
2,99999992;7,01740800
3,09999991;7,04509100
3,19999991;7,06815900
3,29999991;7,08507600
3,39999990;7,09276500
3,49999990;7,08507600
3,59999990;7,06354500
3,69999990;7,04047700
3,79999989;7,01894700
3,89999989;7,00664300
3,99999989;7,00356800
4,09999988;7,01279500
4,19999988;7,02817400
4,29999988;7,04509100
4,39999988;7,05739400
4,49999987;7,05739400
4,59999987;7,04509100
4,69999987;7,02817400
4,79999986;7,01433300
4,89999986;7,00510500
4,99999986;7,00510500
5,09999986;7,01433300
5,19999985;7,02817400
5,29999985;7,04509100
5,39999985;7,05739400
5,49999984;7,05739400
5,59999984;7,04509100
5,69999984;7,02971200
5,79999984;7,01433300
5,89999983;7,00510500
5,99999983;7,00356800
6,09999983;7,00818100
6,19999982;7,01740800
6,29999982;7,02509800
6,39999982;7,02817400
6,49999982;7,02048400
6,59999981;7,00356800
6,69999981;6,98972700
6,79999981;6,98357500
6,89999980;6,99280200
6,99999980;7,01894700
7,09999980;7,06200700
7,19999980;7,11583300
7,29999979;7,17581200
7,39999979;7,23578900
7,49999979;7,28500200
7,59999979;7,32191100
7,69999978;7,35882000
7,79999978;7,39726800
7,89999978;7,44340500
7,99999977;7,50030700
8,09999977;7,56489800
8,19999977;7,63717900
8,29999977;7,70638500
8,39999976;7,77097700
8,49999976;7,82018900
8,59999976;7,85248500
8,69999975;7,87862900
8,79999975;7,90169700
8,89999975;7,92476600
8,99999975;7,95091000
9,09999974;7,98013000
9,19999974;8,00627400
9,29999974;8,02626700
9,39999973;8,03549500
9,49999973;8,02626700
9,59999973;8,00473700
9,69999973;7,97859100
9,79999972;7,95552300
9,89999972;7,94168200
