Tid;Kanal A
(ns);(V)

-3,99999989;1,04878200
-3,89999989;1,05013500
-3,79999989;1,05235000
-3,69999990;1,05481100
-3,59999990;1,05659400
-3,49999990;1,05659400
-3,39999990;1,05474900
-3,29999991;1,05235000
-3,19999991;1,05007400
-3,09999991;1,04878200
-2,99999992;1,04884400
-2,89999992;1,05032000
-2,79999992;1,05284200
-2,69999992;1,05554900
-2,59999993;1,05770200
-2,49999993;1,05807100
-2,39999993;1,05647100
-2,29999993;1,05401100
-2,19999994;1,05142700
-2,09999994;1,04933600
-1,99999994;1,04816700
-1,89999995;1,04779800
-1,79999995;1,04792100
-1,69999995;1,04792100
-1,59999995;1,04712100
-1,49999996;1,04453700
-1,39999996;1,04035400
-1,29999996;1,03592500
-1,19999997;1,03223400
-1,09999997;1,03014300
-0,99999997;1,03014300
-0,89999997;1,03223400
-0,79999998;1,03592500
-0,69999998;1,04035400
-0,59999998;1,04453700
-0,49999999;1,04712100
-0,39999999;1,04792100
-0,29999999;1,04792100
-0,19999999;1,04773600
-0,10000000;1,04810500
0,00000000;1,04939700
0,10000000;1,05161200
0,19999999;1,05444100
0,29999999;1,05721000
0,39999999;1,05917800
0,49999999;1,05917800
0,59999998;1,05721000
0,69999998;1,05444100
0,79999998;1,05161200
0,89999997;1,04939700
0,99999997;1,04810500
1,09999997;1,04773600
1,19999997;1,04792100
1,29999996;1,04792100
1,39999996;1,04712100
1,49999996;1,04453700
1,59999995;1,04035400
1,69999995;1,03592500
1,79999995;1,03223400
1,89999995;1,03014300
1,99999994;1,03014300
2,09999994;1,03223400
2,19999994;1,03592500
2,29999993;1,04035400
2,39999993;1,04453700
2,49999993;1,04712100
2,59999993;1,04792100
2,69999992;1,04792100
2,79999992;1,04773600
2,89999992;1,04810500
2,99999992;1,04939700
3,09999991;1,05161200
3,19999991;1,05444100
3,29999991;1,05721000
3,39999990;1,05917800
3,49999990;1,05917800
3,59999990;1,05721000
3,69999990;1,05444100
3,79999989;1,05155000
3,89999989;1,04933600
3,99999989;1,04816700
4,09999988;1,04798200
4,19999988;1,04835100
4,29999988;1,04872000
4,39999988;1,04829000
4,49999987;1,04601400
4,59999987;1,04201500
4,69999987;1,03752500
4,79999986;1,03346500
4,89999986;1,03063500
4,99999986;1,02952800
5,09999986;1,03008100
5,19999985;1,03192700
5,29999985;1,03426400
5,39999985;1,03623300
5,49999984;1,03654000
5,59999984;1,03512500
5,69999984;1,03309500
5,79999984;1,03112700
5,89999983;1,03002000
5,99999983;1,03008100
6,09999983;1,03137300
6,19999982;1,03358800
6,29999982;1,03592500
6,39999982;1,03770900
6,49999982;1,03770900
6,59999981;1,03592500
6,69999981;1,03352600
6,79999981;1,03137300
6,89999980;1,03002000
6,99999980;1,03002000
7,09999980;1,03137300
7,19999980;1,03352600
7,29999979;1,03592500
7,39999979;1,03770900
7,49999979;1,03770900
7,59999979;1,03592500
7,69999978;1,03352600
7,79999978;1,03137300
7,89999978;1,03002000
7,99999977;1,03002000
8,09999977;1,03137300
8,19999977;1,03352600
8,29999977;1,03592500
8,39999976;1,03770900
8,49999976;1,03770900
8,59999976;1,03592500
8,69999975;1,03358800
8,79999975;1,03137300
8,89999975;1,03008100
8,99999975;1,03002000
9,09999974;1,03112700
9,19999974;1,03309500
9,29999974;1,03512500
9,39999973;1,03654000
9,49999973;1,03623300
9,59999973;1,03426400
9,69999973;1,03192700
9,79999972;1,03008100
9,89999972;1,02952800
