Tid;Kanal A
(ns);(V)

-3,99999989;3,86764900
-3,89999989;3,87257000
-3,79999989;3,88072100
-3,69999990;3,88979500
-3,59999990;3,89640700
-3,49999990;3,89640700
-3,39999990;3,88979500
-3,29999991;3,88072100
-3,19999991;3,87257000
-3,09999991;3,86764900
-2,99999992;3,86780300
-2,89999992;3,87318500
-2,79999992;3,88195100
-2,69999992;3,89179400
-2,59999993;3,89932900
-2,49999993;3,90009800
-2,39999993;3,89394700
-2,29999993;3,88487300
-2,19999994;3,87580000
-2,09999994;3,86903300
-1,99999994;3,86611100
-1,89999995;3,86734100
-1,79999995;3,87087800
-1,69999995;3,87456900
-1,59999995;3,87549200
-1,49999996;3,86980200
-1,39999996;3,85765200
-1,29999996;3,84350400
-1,19999997;3,83073900
-1,09999997;3,82212700
-0,99999997;3,81920500
-0,89999997;3,82228100
-0,79999998;3,82950900
-0,69999998;3,83812100
-0,59999998;3,84519600
-0,49999999;3,84611800
-0,39999999;3,84042800
-0,29999999;3,83227700
-0,19999999;3,82489500
-0,10000000;3,82043600
0,00000000;3,82058900
0,10000000;3,82551100
0,19999999;3,83350800
0,29999999;3,84227400
0,39999999;3,84888600
0,49999999;3,84888600
0,59999998;3,84227400
0,69999998;3,83350800
0,79999998;3,82551100
0,89999997;3,82058900
0,99999997;3,82043600
1,09999997;3,82489500
1,19999997;3,83227700
1,29999996;3,84042800
1,39999996;3,84611800
1,49999996;3,84519600
1,59999995;3,83812100
1,69999995;3,82935500
1,79999995;3,82212700
1,89999995;3,81920500
1,99999994;3,82212700
2,09999994;3,83120100
2,19999994;3,84458000
2,29999993;3,85949800
2,39999993;3,87272400
2,49999993;3,87918300
2,59999993;3,87872200
2,69999992;3,87503100
2,79999992;3,87057100
2,89999992;3,86749500
2,99999992;3,86734100
3,09999991;3,86995600
3,19999991;3,87380100
3,29999991;3,87672200
3,39999990;3,87641500
3,49999990;3,86903300
3,59999990;3,85534600
3,69999990;3,84058200
3,79999989;3,82797100
3,89999989;3,82089700
3,99999989;3,82089700
4,09999988;3,82797100
4,19999988;3,84058200
4,29999988;3,85534600
4,39999988;3,86903300
4,49999987;3,87641500
4,59999987;3,87672200
4,69999987;3,87380100
4,79999986;3,86995600
4,89999986;3,86749500
4,99999986;3,86749500
5,09999986;3,86995600
5,19999985;3,87380100
5,29999985;3,87672200
5,39999985;3,87641500
5,49999984;3,86903300
5,59999984;3,85534600
5,69999984;3,84058200
5,79999984;3,82812500
5,89999983;3,82089700
5,99999983;3,82074300
6,09999983;3,82751000
6,19999982;3,83935200
6,29999982;3,85350000
6,39999982;3,86611100
6,49999982;3,87272400
6,59999981;3,87257000
6,69999981;3,86964800
6,79999981;3,86672600
6,89999980;3,86611100
6,99999980;3,86903300
7,09999980;3,87580000
7,19999980;3,88502700
7,29999979;3,89394700
7,39999979;3,90009800
7,49999979;3,89932900
7,59999979;3,89179400
7,69999978;3,88195100
7,79999978;3,87303100
7,89999978;3,86780300
7,99999977;3,86780300
8,09999977;3,87303100
8,19999977;3,88195100
8,29999977;3,89179400
8,39999976;3,89932900
8,49999976;3,90009800
8,59999976;3,89394700
8,69999975;3,88502700
8,79999975;3,87580000
8,89999975;3,86903300
8,99999975;3,86611100
9,09999974;3,86672600
9,19999974;3,86964800
9,29999974;3,87257000
9,39999973;3,87272400
9,49999973;3,86611100
9,59999973;3,85350000
9,69999973;3,83950500
9,79999972;3,82751000
9,89999972;3,82074300
