Tid;Kanal A
(ns);(mV)

-3,99999989;6,53604800
-3,89999989;6,54219900
-3,79999989;6,55757800
-3,69999990;6,57295700
-3,59999990;6,58526000
-3,49999990;6,58526000
-3,39999990;6,57603300
-3,29999991;6,56065400
-3,19999991;6,54527500
-3,09999991;6,53604800
-2,99999992;6,53604800
-2,89999992;6,54527500
-2,79999992;6,56065400
-2,69999992;6,57603300
-2,59999993;6,58526000
-2,49999993;6,58526000
-2,39999993;6,57603300
-2,29999993;6,56065400
-2,19999994;6,54527500
-2,09999994;6,53604800
-1,99999994;6,53604800
-1,89999995;6,54527500
-1,79999995;6,56065400
-1,69999995;6,57603300
-1,59999995;6,58526000
-1,49999996;6,58526000
-1,39999996;6,57603300
-1,29999996;6,56065400
-1,19999997;6,54527500
-1,09999997;6,53604800
-0,99999997;6,53604800
-0,89999997;6,54527500
-0,79999998;6,56065400
-0,69999998;6,57603300
-0,59999998;6,58526000
-0,49999999;6,58526000
-0,39999999;6,57603300
-0,29999999;6,56065400
-0,19999999;6,54527500
-0,10000000;6,53604800
0,00000000;6,53604800
0,10000000;6,54527500
0,19999999;6,56065400
0,29999999;6,57603300
0,39999999;6,58526000
0,49999999;6,58526000
0,59999998;6,57295700
0,69999998;6,55757800
0,79999998;6,54219900
0,89999997;6,53604800
0,99999997;6,53912400
1,09999997;6,55450200
1,19999997;6,58218500
1,29999996;6,61294300
1,39999996;6,64370100
1,49999996;6,65908000
1,59999995;6,65600300
1,69999995;6,64062500
1,79999995;6,60679100
1,89999995;6,56373000
1,99999994;6,50529000
2,09999994;6,44069800
2,19999994;6,36072800
2,29999993;6,27153000
2,39999993;6,17310500
2,49999993;6,05930100
2,59999993;5,93626900
2,69999992;5,82246500
2,79999992;5,71788800
2,89999992;5,63484200
2,99999992;5,57332700
3,09999991;5,53641700
3,19999991;5,51796200
3,29999991;5,51488600
3,39999990;5,51488600
3,49999990;5,51488600
3,59999990;5,51488600
3,69999990;5,51796200
3,79999989;5,53641700
3,89999989;5,57332700
3,99999989;5,63791800
4,09999988;5,72711600
4,19999988;5,84399600
4,29999988;5,97625400
4,39999988;6,11466500
4,49999987;6,24384800
4,59999987;6,35457700
4,69999987;6,44069800
4,79999986;6,50221400
4,89999986;6,53297200
4,99999986;6,53297200
5,09999986;6,50221400
5,19999985;6,44069800
5,29999985;6,35457700
5,39999985;6,24384800
5,49999984;6,11466500
5,59999984;5,97625400
5,69999984;5,84092000
5,79999984;5,72711600
5,89999983;5,63484200
5,99999983;5,57640200
6,09999983;5,54564400
6,19999982;5,53949300
6,29999982;5,55179600
6,39999982;5,57025100
6,49999982;5,58870600
6,59999981;5,59485700
6,69999981;5,59793300
6,79999981;5,59793300
6,89999980;5,60100800
6,99999980;5,60408400
7,09999980;5,61331200
7,19999980;5,62253900
7,29999979;5,63484200
7,39999979;5,64407000
7,49999979;5,64407000
7,59999979;5,63484200
7,69999978;5,61946300
7,79999978;5,60716000
7,89999978;5,60100800
7,99999977;5,60408400
8,09999977;5,61946300
8,19999977;5,64407000
8,29999977;5,67175200
8,39999976;5,69943300
8,49999976;5,71788800
8,59999976;5,71788800
8,69999975;5,70251000
8,79999975;5,67482800
8,89999975;5,62869100
8,99999975;5,57025100
9,09999974;5,49335600
9,19999974;5,40108300
9,29999974;5,29343000
9,39999973;5,17347400
9,49999973;5,04429100
9,59999973;4,91510800
9,69999973;4,80130400
9,79999972;4,71825800
9,89999972;4,67212100
