Tid;Kanal A
(ns);(mV)

-3,99999989;28,04810000
-3,89999989;28,11885000
-3,79999989;28,19574000
-3,69999990;28,26341000
-3,59999990;28,30339000
-3,49999990;28,28801000
-3,39999990;28,22035000
-3,29999991;28,14038000
-3,19999991;28,06656000
-3,09999991;28,02350000
-2,99999992;28,02042000
-2,89999992;28,05425000
-2,79999992;28,11577000
-2,69999992;28,18036000
-2,59999993;28,22958000
-2,49999993;28,22958000
-2,39999993;28,18344000
-2,29999993;28,11577000
-2,19999994;28,05733000
-2,09999994;28,02350000
-1,99999994;28,02350000
-1,89999995;28,05733000
-1,79999995;28,11577000
-1,69999995;28,18344000
-1,59999995;28,22958000
-1,49999996;28,22958000
-1,39999996;28,18344000
-1,29999996;28,11885000
-1,19999997;28,06041000
-1,09999997;28,02350000
-0,99999997;28,02042000
-0,89999997;28,04810000
-0,79999998;28,09424000
-0,69999998;28,14345000
-0,59999998;28,17421000
-0,49999999;28,15883000
-0,39999999;28,10039000
-0,29999999;28,03888000
-0,19999999;27,99582000
-0,10000000;27,99582000
0,00000000;28,05425000
0,10000000;28,16191000
0,19999999;28,31570000
0,29999999;28,48487000
0,39999999;28,64173000
0,49999999;28,75554000
0,59999998;28,81705000
0,69999998;28,85396000
0,79999998;28,88472000
0,89999997;28,92470000
0,99999997;28,98007000
1,09999997;29,05389000
1,19999997;29,13078000
1,29999996;29,20152000
1,39999996;29,24151000
1,49999996;29,22613000
1,59999995;29,15846000
1,69999995;29,07542000
1,79999995;29,00160000
1,89999995;28,95546000
1,99999994;28,95238000
2,09999994;28,98929000
2,19999994;29,05081000
2,29999993;29,11848000
2,39999993;29,16769000
2,49999993;29,16769000
2,59999993;29,11848000
2,69999992;29,05081000
2,79999992;28,98929000
2,89999992;28,95546000
2,99999992;28,95546000
3,09999991;28,98929000
3,19999991;29,05081000
3,29999991;29,11848000
3,39999990;29,16769000
3,49999990;29,16769000
3,59999990;29,11848000
3,69999990;29,05081000
3,79999989;28,98929000
3,89999989;28,95238000
3,99999989;28,95546000
4,09999988;29,00160000
4,19999988;29,07542000
4,29999988;29,15846000
4,39999988;29,22613000
4,49999987;29,24151000
4,59999987;29,20152000
4,69999987;29,13078000
4,79999986;29,05389000
4,89999986;28,98007000
4,99999986;28,92470000
5,09999986;28,88472000
5,19999985;28,85396000
5,29999985;28,81705000
5,39999985;28,75554000
5,49999984;28,64173000
5,59999984;28,48487000
5,69999984;28,31570000
5,79999984;28,16191000
5,89999983;28,05425000
5,99999983;27,99582000
6,09999983;27,99582000
6,19999982;28,03888000
6,29999982;28,10039000
6,39999982;28,15883000
6,49999982;28,17421000
6,59999981;28,14345000
6,69999981;28,09424000
6,79999981;28,04810000
6,89999980;28,02042000
6,99999980;28,02350000
7,09999980;28,06041000
7,19999980;28,11885000
7,29999979;28,18344000
7,39999979;28,22958000
7,49999979;28,22958000
7,59999979;28,18344000
7,69999978;28,11577000
7,79999978;28,05733000
7,89999978;28,02350000
7,99999977;28,02350000
8,09999977;28,05733000
8,19999977;28,11577000
8,29999977;28,18344000
8,39999976;28,22958000
8,49999976;28,22958000
8,59999976;28,18344000
8,69999975;28,11577000
8,79999975;28,05733000
8,89999975;28,02350000
8,99999975;28,02350000
9,09999974;28,05733000
9,19999974;28,11577000
9,29999974;28,18344000
9,39999973;28,22958000
9,49999973;28,22958000
9,59999973;28,18036000
9,69999973;28,11577000
9,79999972;28,05425000
9,89999972;28,02042000
