Tid;Kanal A
(ns);(mV)

-3,99999989;74,71703000
-3,89999989;74,80930000
-3,79999989;74,97539000
-3,69999990;75,14763000
-3,59999990;75,27682000
-3,49999990;75,27682000
-3,39999990;75,14763000
-3,29999991;74,97539000
-3,19999991;74,81544000
-3,09999991;74,72318000
-2,99999992;74,72318000
-2,89999992;74,81544000
-2,79999992;74,97539000
-2,69999992;75,14763000
-2,59999993;75,27682000
-2,49999993;75,27682000
-2,39999993;75,14763000
-2,29999993;74,97539000
-2,19999994;74,82160000
-2,09999994;74,72318000
-1,99999994;74,71703000
-1,89999995;74,79699000
-1,79999995;74,93233000
-1,69999995;75,07381000
-1,59999995;75,16608000
-1,49999996;75,12917000
-1,39999996;74,98154000
-1,29999996;74,81544000
-1,19999997;74,69241000
-1,09999997;74,66781000
-0,99999997;74,78469000
-0,89999997;75,03075000
-0,79999998;75,36909000
-0,69999998;75,75049000
-0,59999998;76,10728000
-0,49999999;76,33489000
-0,39999999;76,42101000
-0,29999999;76,45792000
-0,19999999;76,47637000
-0,10000000;76,53174000
0,00000000;76,64246000
0,10000000;76,81470000
0,19999999;77,01156000
0,29999999;77,18996000
0,39999999;77,30683000
0,49999999;77,27608000
0,59999998;77,10384000
0,69999998;76,89468000
0,79999998;76,71013000
0,89999997;76,59325000
0,99999997;76,58710000
1,09999997;76,68553000
1,19999997;76,84547000
1,29999996;77,03001000
1,39999996;77,15920000
1,49999996;77,15920000
1,59999995;77,03001000
1,69999995;76,85162000
1,79999995;76,68553000
1,89999995;76,59325000
1,99999994;76,59325000
2,09999994;76,68553000
2,19999994;76,85162000
2,29999993;77,03001000
2,39999993;77,15920000
2,49999993;77,15920000
2,59999993;77,03001000
2,69999992;76,84547000
2,79999992;76,68553000
2,89999992;76,58710000
2,99999992;76,59325000
3,09999991;76,71013000
3,19999991;76,89468000
3,29999991;77,10384000
3,39999990;77,27608000
3,49999990;77,30683000
3,59999990;77,18996000
3,69999990;77,01156000
3,79999989;76,81470000
3,89999989;76,64246000
3,99999989;76,53174000
4,09999988;76,47637000
4,19999988;76,45792000
4,29999988;76,42101000
4,39999988;76,33489000
4,49999987;76,10728000
4,59999987;75,75049000
4,69999987;75,36909000
4,79999986;75,03075000
4,89999986;74,78469000
4,99999986;74,66781000
5,09999986;74,69241000
5,19999985;74,81544000
5,29999985;74,98154000
5,39999985;75,12917000
5,49999984;75,16608000
5,59999984;75,07381000
5,69999984;74,93233000
5,79999984;74,79699000
5,89999983;74,71703000
5,99999983;74,72318000
6,09999983;74,82160000
6,19999982;74,97539000
6,29999982;75,14763000
6,39999982;75,27682000
6,49999982;75,27682000
6,59999981;75,14763000
6,69999981;74,97539000
6,79999981;74,80930000
6,89999980;74,71703000
6,99999980;74,72932000
7,09999980;74,83390000
7,19999980;75,01846000
7,29999979;75,22761000
7,39999979;75,38755000
7,49999979;75,41830000
7,59999979;75,31373000
7,69999978;75,13533000
7,79999978;74,93848000
7,89999978;74,77238000
7,99999977;74,66166000
8,09999977;74,60629000
8,19999977;74,58169000
8,29999977;74,54478000
8,39999976;74,45251000
8,49999976;74,22490000
8,59999976;73,87426000
8,69999975;73,49901000
8,79999975;73,16068000
8,89999975;72,92077000
8,99999975;72,81004000
9,09999974;72,82849000
9,19999974;72,94537000
9,29999974;73,11147000
9,39999973;73,25295000
9,49999973;73,28986000
9,59999973;73,19759000
9,69999973;73,06225000
9,79999972;72,92691000
9,89999972;72,85310000
