Tid;Kanal A
(ns);(mV)

-3,99999989;3,73708200
-3,89999989;3,74938500
-3,79999989;3,77091500
-3,69999990;3,79552100
-3,59999990;3,82012800
-3,49999990;3,83550700
-3,39999990;3,83858300
-3,29999991;3,82935500
-3,19999991;3,80167300
-3,09999991;3,76168800
-2,99999992;3,70632400
-2,89999992;3,63558100
-2,79999992;3,54945900
-2,69999992;3,45410900
-2,59999993;3,34953200
-2,49999993;3,23572800
-2,39999993;3,11884800
-2,29999993;3,00812000
-2,19999994;2,90969500
-2,09999994;2,83280000
-1,99999994;2,77436000
-1,89999995;2,74360200
-1,79999995;2,73129900
-1,69999995;2,73437500
-1,59999995;2,74975400
-1,49999996;2,76513300
-1,39999996;2,78051200
-1,29999996;2,78973900
-1,19999997;2,79589100
-1,09999997;2,79896600
-0,99999997;2,79896600
-0,89999997;2,79589100
-0,79999998;2,78973900
-0,69999998;2,78051200
-0,59999998;2,76513300
-0,49999999;2,74975400
-0,39999999;2,73437500
-0,29999999;2,73129900
-0,19999999;2,74360200
-0,10000000;2,77436000
0,00000000;2,83280000
0,10000000;2,90969500
0,19999999;3,00812000
0,29999999;3,11884800
0,39999999;3,23572800
0,49999999;3,34953200
0,59999998;3,45410900
0,69999998;3,55253400
0,79999998;3,63865600
0,89999997;3,70632400
0,99999997;3,75861200
1,09999997;3,79244600
1,19999997;3,80474900
1,29999996;3,80167300
1,39999996;3,78014200
1,49999996;3,74938500
1,59999995;3,71555100
1,69999995;3,69094500
1,79999995;3,68786900
1,89999995;3,71247500
1,99999994;3,76476400
2,09999994;3,84473400
2,19999994;3,94315900
2,29999993;4,05696300
2,39999993;4,17691900
2,49999993;4,29072300
2,59999993;4,39222400
2,69999992;4,48757300
2,79999992;4,57062000
2,89999992;4,63828700
2,99999992;4,69057600
3,09999991;4,72440900
3,19999991;4,73978800
3,29999991;4,73671200
3,39999990;4,71825800
3,49999990;4,68750000
3,59999990;4,65059000
3,69999990;4,62598400
3,79999989;4,62290800
3,89999989;4,64443900
3,99999989;4,69672700
4,09999988;4,77669700
4,19999988;4,88127400
4,29999988;4,99507900
4,39999988;5,11811000
4,49999987;5,22883800
4,59999987;5,33341500
4,69999987;5,42261300
4,79999986;5,50258300
4,89999986;5,57332700
4,99999986;5,62869100
5,09999986;5,67175200
5,19999985;5,70251000
5,29999985;5,71788800
5,39999985;5,71788800
5,49999984;5,69943300
5,59999984;5,67175200
5,69999984;5,64407000
5,79999984;5,61638700
5,89999983;5,60408400
5,99999983;5,60408400
6,09999983;5,61638700
6,19999982;5,64407000
6,29999982;5,67175200
6,39999982;5,69943300
6,49999982;5,71788800
6,59999981;5,71788800
6,69999981;5,70251000
6,79999981;5,67175200
6,89999980;5,62869100
6,99999980;5,57332700
7,09999980;5,50258300
7,19999980;5,42261300
7,29999979;5,33341500
7,39999979;5,22883800
7,49999979;5,11811000
7,59999979;4,99815400
7,69999978;4,88127400
7,79999978;4,77977300
7,89999978;4,69980300
7,99999977;4,64136300
8,09999977;4,61060500
8,19999977;4,60445400
8,29999977;4,61368100
8,39999976;4,62906000
8,49999976;4,64751400
8,59999976;4,65674200
8,69999975;4,65981800
8,79999975;4,66289300
8,89999975;4,66596900
8,99999975;4,66904500
9,09999974;4,67519700
9,19999974;4,68442400
9,29999974;4,69365100
9,39999973;4,70287900
9,49999973;4,70287900
9,59999973;4,69365100
9,69999973;4,68442400
9,79999972;4,67519700
9,89999972;4,66904500
