Tid;Kanal A
(ns);(mV)

-3,99999989;7,47416300
-3,89999989;7,48339000
-3,79999989;7,49876900
-3,69999990;7,51414800
-3,59999990;7,52645100
-3,49999990;7,52645100
-3,39999990;7,51414800
-3,29999991;7,49569300
-3,19999991;7,48031400
-3,09999991;7,47108700
-2,99999992;7,47416300
-2,89999992;7,49261800
-2,79999992;7,52030000
-2,69999992;7,55413300
-2,59999993;7,58489100
-2,49999993;7,60027000
-2,39999993;7,59719500
-2,29999993;7,57874000
-2,19999994;7,54490600
-2,09999994;7,49876900
-1,99999994;7,44032900
-1,89999995;7,37573800
-1,79999995;7,29884300
-1,69999995;7,21272100
-1,59999995;7,11429600
-1,49999996;7,00049200
-1,39999996;6,87746000
-1,29999996;6,75750400
-1,19999997;6,65292700
-1,09999997;6,56680600
-0,99999997;6,51144200
-0,89999997;6,48375900
-0,79999998;6,48068400
-0,69999998;6,49298700
-0,59999998;6,51451700
-0,49999999;6,52989600
-0,39999999;6,53604800
-0,29999999;6,53604800
-0,19999999;6,53604800
-0,10000000;6,53604800
0,00000000;6,53912400
0,10000000;6,54835100
0,19999999;6,56065400
0,29999999;6,57603300
0,39999999;6,58526000
0,49999999;6,58526000
0,59999998;6,57603300
0,69999998;6,56065400
0,79999998;6,54527500
0,89999997;6,53604800
0,99999997;6,53604800
1,09999997;6,54527500
1,19999997;6,56065400
1,29999996;6,57603300
1,39999996;6,58526000
1,49999996;6,58526000
1,59999995;6,57603300
1,69999995;6,56065400
1,79999995;6,54527500
1,89999995;6,53604800
1,99999994;6,53604800
2,09999994;6,54527500
2,19999994;6,56065400
2,29999993;6,57603300
2,39999993;6,58526000
2,49999993;6,58526000
2,59999993;6,57603300
2,69999992;6,56065400
2,79999992;6,54527500
2,89999992;6,53604800
2,99999992;6,53604800
3,09999991;6,54527500
3,19999991;6,56065400
3,29999991;6,57603300
3,39999990;6,58526000
3,49999990;6,58526000
3,59999990;6,57295700
3,69999990;6,55757800
3,79999989;6,54219900
3,89999989;6,53604800
3,99999989;6,53912400
4,09999988;6,55450200
4,19999988;6,58218500
4,29999988;6,61294300
4,39999988;6,64370100
4,49999987;6,65908000
4,59999987;6,65600300
4,69999987;6,64062500
4,79999986;6,60679100
4,89999986;6,56373000
4,99999986;6,50529000
5,09999986;6,44069800
5,19999985;6,36072800
5,29999985;6,27153000
5,39999985;6,17310500
5,49999984;6,05930100
5,59999984;5,93626900
5,69999984;5,81938900
5,79999984;5,71481200
5,89999983;5,63176600
5,99999983;5,57640200
6,09999983;5,54872000
6,19999982;5,54256900
6,29999982;5,55179600
6,39999982;5,57025100
6,49999982;5,58870600
6,59999981;5,59485700
6,69999981;5,59793300
6,79999981;5,59793300
6,89999980;5,60100800
6,99999980;5,60408400
7,09999980;5,61331200
7,19999980;5,62253900
7,29999979;5,63484200
7,39999979;5,64407000
7,49999979;5,64407000
7,59999979;5,63484200
7,69999978;5,62253900
7,79999978;5,61023600
7,89999978;5,60408400
7,99999977;5,60408400
8,09999977;5,61023600
8,19999977;5,62253900
8,29999977;5,63484200
8,39999976;5,64407000
8,49999976;5,64407000
8,59999976;5,63484200
8,69999975;5,62253900
8,79999975;5,61331200
8,89999975;5,60408400
8,99999975;5,60100800
9,09999974;5,59793300
9,19999974;5,59793300
9,29999974;5,59485700
9,39999973;5,58870600
9,49999973;5,57025100
9,59999973;5,55179600
9,69999973;5,54256900
9,79999972;5,54872000
9,89999972;5,57640200
