Angle,Angle_alpha,Reflected/Transmitted,Volt_mV,Volt_alpha_mV
0,0.5,t,120.6,24.18
5,0.5,t,96.95,10.59
10,0.5,t,108.8,22.27
15,0.5,t,92.21,10.59
15,0.5,r,31.24,13.74
20,0.5,t,87.48,17.35
20,0.5,r,32.88,21.84
25,0.5,t,96.95,10.59
25,0.5,r,46.51,14.13
30,0.5,t,33.74,13.8
30,0.5,r,49.1,17.01
35,0.5,t,36.09,15.3
35,0.5,r,66.72,16.74
38,0.5,t,49.02,17.12
38,0.5,r,72.18,20.79
40,0.5,t,43.78,10.73
40,0.5,r,65.24,18.11
42,0.5,t,45.65,16.97
42,0.5,r,47.62,17.06
44,0.5,t,47.81,17.95
44,0.5,r,42.93,16.41
46,0.5,t,47.24,17.41
46,0.5,r,48.74,18.28
48,0.5,t,50.34,17.74
48,0.5,r,49.78,15.79
50,0.5,t,39.37,10.32
50,0.5,r,55.77,15.63
55,0.5,t,45.74,16.25
55,0.5,r,51.79,15.75
60,0.5,t,49.35,16.94
60,0.5,r,45.04,13.57
65,0.5,t,51.13,14.94
65,0.5,r,43.92,18.76
70,0.5,t,43.45,15.23
70,0.5,r,38.62,14.39
75,0.5,t,39.98,16.5
75,0.5,r,39.45,19.19
