Angle_small,Angle_big,Angle_alpha,Polarization,Reflected/Transmitted,Volt_V,Volt_alpha_mV
40,14,0.5,p,t,2.013,14.89
40,14,0.5,s,t,2.626,11.93
40,101,0.5,p,r,0.0208,4.799
40,101,0.5,s,r,0.1373,8.155
45,16,0.5,p,t,1.456,9.846
45,16,0.5,s,t,1.799,9.081
45,91,0.5,p,r,0.02286,5.649
45,91,0.5,s,r,0.1946,11.37
50,18,0.5,p,t,1.135,8.55
50,18,0.5,s,t,1.455,10.22
50,81,0.5,p,r,0.02346,13.08
50,81,0.5,s,r,0.2349,7.468
55,21,0.5,p,t,1.239,10.4
55,21,0.5,s,t,1.516,18.01
55,71,0.5,p,r,0.01168,5.801
55,71,0.5,s,r,0.3017,21.71
60,24,0.5,p,t,0.9203,12.84
60,24,0.5,s,t,1.062,12.9
60,61,0.5,p,r,0.0118,13.28
60,61,0.5,s,r,0.398,8.589
65,27,0.5,p,t,0.7234,7.102
65,27,0.5,s,t,0.8576,13.95
65,51,0.5,p,r,0.0297,18.69
65,51,0.5,s,r,0.5557,7.379
70,30,0.5,p,t,0.5113,13.6
70,30,0.5,s,t,0.5615,15.79
70,41,0.5,p,r,0.06188,4.86
70,41,0.5,s,r,0.7775,20.89
75,34,0.5,p,t,0.4398,16.1
75,34,0.5,s,t,0.4293,16.67
75,31,0.5,p,r,0.1621,14.33
75,31,0.5,s,r,1.086,10.12
80,38,0.5,p,t,0.2529,5.977
80,38,0.5,s,t,0.233,14.35
80,21,0.5,p,r,0.3448,7.916
80,21,0.5,s,r,1.438,8.535
85,42,0.5,p,t,0.1173,10.89
85,42,0.5,s,t,0.0964,6.138
85,11,0.5,p,r,0.7409,14.6
85,11,0.5,s,r,2.014,14.67
