Angle_small,Angle_big,Angle_alpha,Reflected/Transmitted,Volt_mV,Volt_alpha_mV
40,14,0.5,t,12.98,12.95
40,101,0.5,r,13.71,16.95
45,16,0.5,t,16.18,11.83
45,91,0.5,r,12.8,10.77
50,18,0.5,t,28.37,11.95
50,81,0.5,r,18.51,12.78
55,21,0.5,t,16.95,15.99
55,71,0.5,r,15.12,14.54
60,24,0.5,t,9.526,7.743
60,61,0.5,r,10.14,7.547
65,27,0.5,t,19.6,21
65,51,0.5,r,11.49,12.58
70,30,0.5,t,12.02,12.45
70,41,0.5,r,9.989,9.346
75,34,0.5,t,12.47,9.63
75,31,0.5,r,12.12,10.32
80,38,0.5,t,10.45,10.71
80,21,0.5,r,14.03,15.78
85,42,0.5,t,9.233,3.641
85,11,0.5,r,8.303,3.421
