Angle_small,Angle_alpha,Angle_big_t,Angle_big_r,Coff_Rp,Coff_Rp_err,Coff_Rs,Coff_Rs_err,Coff_Tp,Coff_Tp_err,Coff_Ts,Coff_Ts_err
40,0.5,14,101,0.0035808080808080794,0.007638046938207695,0.035031179138321995,0.004560582318426644,1.010111111111111,0.01020043489711884,0.7406519274376417,0.005032410413411575
45,0.5,16,91,0.00508080808080808,0.007379130087388974,0.05153061224489795,0.004889175027983407,0.7271818181818182,0.009799239923953127,0.5053344671201814,0.0052927052824398866
50,0.5,18,81,0.002499999999999998,0.01164278019705906,0.06133503401360544,0.005688758934741031,0.5589040404040404,0.01511510860185512,0.4043735827664399,0.008567955686365288
55,0.5,21,71,-0.0017373737373737375,0.008450910649920467,0.08123015873015874,0.007522560011459774,0.6171969696969697,0.010266115267083,0.42490079365079364,0.007035385090017029
60,0.5,24,61,0.0008383838383838376,0.008702398294943176,0.109937641723356,0.003813406039237469,0.45998686868686867,0.00834986077839819,0.29832029478458055,0.004584185213008386
65,0.5,27,51,0.009196969696969697,0.011282616880169643,0.1542545351473923,0.003916092733097009,0.3554545454545455,0.01074131058208807,0.23752834467120185,0.006844953050401949
70,0.5,30,41,0.026207575757575756,0.005999702810869459,0.21754846938775507,0.006590264973790342,0.25216161616161614,0.009410232125837185,0.1557482993197279,0.0056562778834986244
75,0.5,34,31,0.07574747474747474,0.009714367785452396,0.3043877551020408,0.004514908680702597,0.21582323232323233,0.010502520068962545,0.11814909297052155,0.005930754015647857
80,0.5,38,21,0.16705555555555557,0.008409123580229654,0.4036196145124717,0.004692721658898753,0.12244949494949496,0.006441081718665075,0.06308106575963719,0.005066774918323737
85,0.5,42,11,0.36999848484848485,0.008745114034321103,0.5685082199546485,0.004814925721875246,0.05457929292929293,0.007517640498669761,0.02470719954648526,0.0031984893829302727
