Tid;Kanal A
(ns);(mV)

-3,99999989;9,36577200
-3,89999989;9,41190900
-3,79999989;9,44881800
-3,69999990;9,47342500
-3,59999990;9,47957600
-3,49999990;9,46419700
-3,39999990;9,43036400
-3,29999991;9,39345400
-3,19999991;9,35962100
-3,09999991;9,34116600
-2,99999992;9,33809000
-2,89999992;9,34731700
-2,79999992;9,36884800
-2,69999992;9,39037900
-2,59999993;9,40883300
-2,49999993;9,40883300
-2,39999993;9,39345400
-2,29999993;9,36884800
-2,19999994;9,35039300
-2,09999994;9,33809000
-1,99999994;9,33809000
-1,89999995;9,35039300
-1,79999995;9,36884800
-1,69999995;9,39345400
-1,59999995;9,40883300
-1,49999996;9,40883300
-1,39999996;9,39345400
-1,29999996;9,36884800
-1,19999997;9,35039300
-1,09999997;9,33809000
-0,99999997;9,33809000
-0,89999997;9,35039300
-0,79999998;9,36884800
-0,69999998;9,39345400
-0,59999998;9,40883300
-0,49999999;9,40883300
-0,39999999;9,39345400
-0,29999999;9,36884800
-0,19999999;9,35039300
-0,10000000;9,33809000
0,00000000;9,33809000
0,10000000;9,35039300
0,19999999;9,36884800
0,29999999;9,39345400
0,39999999;9,40883300
0,49999999;9,40883300
0,59999998;9,39345400
0,69999998;9,36884800
0,79999998;9,35039300
0,89999997;9,33809000
0,99999997;9,33809000
1,09999997;9,35039300
1,19999997;9,36884800
1,29999996;9,39345400
1,39999996;9,40883300
1,49999996;9,40883300
1,59999995;9,39037900
1,69999995;9,36884800
1,79999995;9,34731700
1,89999995;9,33809000
1,99999994;9,34116600
2,09999994;9,35962100
2,19999994;9,39345400
2,29999993;9,43036400
2,39999993;9,46419700
2,49999993;9,47957600
2,59999993;9,47342500
2,69999992;9,44881800
2,79999992;9,41190900
2,89999992;9,36577200
2,99999992;9,30733200
3,09999991;9,24581600
3,19999991;9,17199800
3,29999991;9,08895100
3,39999990;8,99360200
3,49999990;8,87979800
3,59999990;8,75369100
3,69999990;8,63065900
3,79999989;8,51993000
3,89999989;8,43380800
3,99999989;8,37844500
4,09999988;8,35383800
4,19999988;8,35383800
4,29999988;8,36921700
4,39999988;8,39382400
4,49999987;8,40920300
4,59999987;8,41227800
4,69999987;8,40920300
4,79999986;8,40305000
4,89999986;8,39997500
4,99999986;8,40920300
5,09999986;8,42765700
5,19999985;8,45533900
5,29999985;8,49224900
5,39999985;8,52300600
5,49999984;8,53838500
5,59999984;8,53223400
5,69999984;8,51070400
5,79999984;8,47379300
5,89999983;8,42765700
5,99999983;8,37536800
6,09999983;8,32000400
6,19999982;8,25848900
6,29999982;8,18774500
6,39999982;8,11085000
6,49999982;8,01242500
6,59999981;7,89862200
6,69999981;7,77559000
6,79999981;7,64948300
6,89999980;7,52952700
6,99999980;7,41572300
7,09999980;7,31422200
7,19999980;7,21887300
7,29999979;7,12967500
7,39999979;7,04047700
7,49999979;6,94512700
7,59999979;6,83747500
7,69999978;6,73597400
7,79999978;6,64062500
7,89999978;6,56680600
7,99999977;6,51451700
8,09999977;6,48683500
8,19999977;6,48068400
8,29999977;6,49298700
8,39999976;6,51451700
8,49999976;6,52989600
8,59999976;6,53604800
8,69999975;6,53604800
8,79999975;6,53604800
8,89999975;6,53604800
8,99999975;6,53912400
9,09999974;6,54835100
9,19999974;6,56065400
9,29999974;6,57603300
9,39999973;6,58526000
9,49999973;6,58526000
9,59999973;6,57603300
9,69999973;6,56065400
9,79999972;6,54527500
9,89999972;6,53604800
