Tid;Kanal A
(ns);(mV)

-3,99999989;33,62450000
-3,89999989;33,66756000
-3,79999989;33,73831000
-3,69999990;33,81520000
-3,59999990;33,87365000
-3,49999990;33,87365000
-3,39999990;33,81520000
-3,29999991;33,73831000
-3,19999991;33,66756000
-3,09999991;33,62450000
-2,99999992;33,62450000
-2,89999992;33,66756000
-2,79999992;33,73831000
-2,69999992;33,81520000
-2,59999993;33,87365000
-2,49999993;33,87365000
-2,39999993;33,81520000
-2,29999993;33,73831000
-2,19999994;33,66756000
-2,09999994;33,62450000
-1,99999994;33,62450000
-1,89999995;33,66756000
-1,79999995;33,73831000
-1,69999995;33,81520000
-1,59999995;33,87365000
-1,49999996;33,87365000
-1,39999996;33,81520000
-1,29999996;33,73831000
-1,19999997;33,66756000
-1,09999997;33,62450000
-0,99999997;33,62450000
-0,89999997;33,66756000
-0,79999998;33,73831000
-0,69999998;33,81520000
-0,59999998;33,87365000
-0,49999999;33,87365000
-0,39999999;33,81520000
-0,29999999;33,73831000
-0,19999999;33,66756000
-0,10000000;33,62450000
0,00000000;33,62450000
0,10000000;33,66756000
0,19999999;33,73831000
0,29999999;33,81520000
0,39999999;33,87365000
0,49999999;33,87365000
0,59999998;33,81520000
0,69999998;33,73831000
0,79999998;33,66756000
0,89999997;33,62450000
0,99999997;33,62450000
1,09999997;33,66756000
1,19999997;33,73831000
1,29999996;33,81520000
1,39999996;33,87365000
1,49999996;33,87365000
1,59999995;33,81828000
1,69999995;33,74139000
1,79999995;33,67064000
1,89999995;33,62758000
1,99999994;33,62143000
2,09999994;33,65834000
2,19999994;33,71678000
2,29999993;33,77830000
2,39999993;33,81828000
2,49999993;33,80290000
2,59999993;33,73523000
2,69999992;33,65834000
2,79999992;33,60298000
2,89999992;33,59682000
2,99999992;33,65834000
3,09999991;33,78445000
3,19999991;33,95977000
3,29999991;34,15662000
3,39999990;34,34424000
3,49999990;34,47342000
3,59999990;34,53801000
3,69999990;34,55955000
3,79999989;34,55955000
3,89999989;34,55339000
3,99999989;34,55339000
4,09999988;34,55955000
4,19999988;34,55955000
4,29999988;34,53801000
4,39999988;34,47342000
4,49999987;34,34424000
4,59999987;34,15662000
4,69999987;33,95977000
4,79999986;33,78445000
4,89999986;33,65834000
4,99999986;33,59682000
5,09999986;33,60298000
5,19999985;33,65834000
5,29999985;33,73523000
5,39999985;33,80290000
5,49999984;33,81828000
5,59999984;33,77830000
5,69999984;33,71678000
5,79999984;33,65834000
5,89999983;33,62143000
5,99999983;33,62758000
6,09999983;33,67064000
6,19999982;33,74139000
6,29999982;33,81828000
6,39999982;33,87365000
6,49999982;33,87365000
6,59999981;33,81520000
6,69999981;33,73831000
6,79999981;33,66756000
6,89999980;33,62450000
6,99999980;33,62450000
7,09999980;33,66756000
7,19999980;33,73831000
7,29999979;33,81520000
7,39999979;33,87365000
7,49999979;33,87365000
7,59999979;33,81520000
7,69999978;33,73831000
7,79999978;33,66756000
7,89999978;33,62450000
7,99999977;33,62450000
8,09999977;33,66756000
8,19999977;33,73831000
8,29999977;33,81520000
8,39999976;33,87365000
8,49999976;33,87365000
8,59999976;33,81520000
8,69999975;33,73831000
8,79999975;33,66756000
8,89999975;33,62450000
8,99999975;33,62450000
9,09999974;33,66756000
9,19999974;33,73831000
9,29999974;33,81520000
9,39999973;33,87365000
9,49999973;33,87365000
9,59999973;33,81828000
9,69999973;33,74139000
9,79999972;33,67064000
9,89999972;33,62758000
