Tid;Kanal A
(ns);(mV)

-3,99999989;54,33070000
-3,89999989;54,67519000
-3,79999989;55,02276000
-3,69999990;55,33649000
-3,59999990;55,58255000
-3,49999990;55,71173000
-3,39999990;55,75172000
-3,29999991;55,77325000
-3,19999991;55,82861000
-3,09999991;55,94549000
-2,99999992;56,14235000
-2,89999992;56,40993000
-2,79999992;56,71444000
-2,69999992;57,01279000
-2,59999993;57,26193000
-2,49999993;57,40957000
-2,39999993;57,47108000
-2,29999993;57,52030000
-2,19999994;57,61257000
-2,09999994;57,78174000
-1,99999994;58,04626000
-1,89999995;58,39997000
-1,79999995;58,81213000
-1,69999995;59,23351000
-1,59999995;59,61491000
-1,49999996;59,89173000
-1,39999996;60,07012000
-1,29999996;60,21776000
-1,19999997;60,37463000
-1,09999997;60,58070000
-0,99999997;60,84522000
-0,89999997;61,16510000
-0,79999998;61,50652000
-0,69999998;61,83255000
-0,59999998;62,09707000
-0,49999999;62,24471000
-0,39999999;62,28777000
-0,29999999;62,30930000
-0,19999999;62,36159000
-0,10000000;62,47846000
0,00000000;62,68454000
0,10000000;62,97059000
0,19999999;63,29971000
0,29999999;63,62881000
0,39999999;63,90563000
0,49999999;64,06865000
0,59999998;64,13016000
0,69999998;64,16399000
0,79999998;64,22551000
0,89999997;64,34854000
0,99999997;64,55462000
1,09999997;64,83452000
1,19999997;65,15440000
1,29999996;65,47121000
1,39999996;65,73264000
1,49999996;65,88029000
1,59999995;65,92335000
1,69999995;65,95718000
1,79999995;66,02792000
1,89999995;66,18786000
1,99999994;66,45238000
2,09999994;66,81841000
2,19999994;67,24901000
2,29999993;67,68885000
2,39999993;68,08563000
2,49999993;68,36245000
2,59999993;68,52547000
2,69999992;68,65465000
2,79999992;68,79613000
2,89999992;68,98991000
2,99999992;69,25135000
3,09999991;69,57123000
3,19999991;69,92187000
3,29999991;70,24791000
3,39999990;70,50935000
3,49999990;70,64160000
3,59999990;70,66006000
3,69999990;70,66621000
3,79999989;70,71850000
3,89999989;70,86306000
3,99999989;71,12143000
4,09999988;71,48130000
4,19999988;71,91190000
4,29999988;72,34866000
4,39999988;72,73314000
4,49999987;72,99458000
4,59999987;73,13914000
4,69999987;73,25910000
4,79999986;73,40674000
4,89999986;73,63126000
4,99999986;73,95423000
5,09999986;74,36639000
5,19999985;74,82775000
5,29999985;75,28912000
5,39999985;75,68590000
5,49999984;75,94734000
5,59999984;76,07960000
5,69999984;76,17187000
5,79999984;76,28567000
5,89999983;76,46100000
5,99999983;76,72243000
6,09999983;77,06077000
6,19999982;77,43909000
6,29999982;77,80203000
6,39999982;78,09424000
6,49999982;78,24187000
6,59999981;78,25725000
6,69999981;78,24495000
6,79999981;78,26340000
6,89999980;78,35876000
6,99999980;78,56175000
7,09999980;78,85703000
7,19999980;79,21075000
7,29999979;79,55832000
7,39999979;79,84743000
7,49999979;79,99508000
7,59999979;80,01660000
7,69999978;80,01353000
7,79999978;80,05659000
7,89999978;80,19807000
7,99999977;80,46875000
8,09999977;80,85938000
8,19999977;81,32996000
8,29999977;81,81902000
8,39999976;82,25578000
8,49999976;82,54798000
8,59999976;82,69561000
8,69999975;82,79096000
8,79999975;82,88631000
8,89999975;83,02472000
8,99999975;83,23080000
9,09999974;83,49224000
9,19999974;83,78136000
9,29999974;84,03666000
9,39999973;84,21198000
9,49999973;84,22736000
9,59999973;84,11356000
9,69999973;83,98437000
9,79999972;83,91670000
9,89999972;83,96899000
