Tid;Kanal A
(ns);(mV)

-3,99999989;3,74015700
-3,89999989;3,78321800
-3,79999989;3,86626500
-3,69999990;3,97699300
-3,59999990;4,10310000
-3,49999990;4,23228400
-3,39999990;4,35531500
-3,29999991;4,46296700
-3,19999991;4,55831700
-3,09999991;4,63521100
-2,99999992;4,69365100
-2,89999992;4,73671200
-2,79999992;4,76439500
-2,69999992;4,77669700
-2,59999993;4,77362200
-2,49999993;4,75824300
-2,39999993;4,73363700
-2,29999993;4,70595500
-2,19999994;4,68442400
-2,09999994;4,66904500
-1,99999994;4,66596900
-1,89999995;4,67212100
-1,79999995;4,68134800
-1,69999995;4,69365100
-1,59999995;4,70287900
-1,49999996;4,70287900
-1,39999996;4,69365100
-1,29999996;4,68442400
-1,19999997;4,67519700
-1,09999997;4,66904500
-0,99999997;4,66904500
-0,89999997;4,67519700
-0,79999998;4,68442400
-0,69999998;4,69365100
-0,59999998;4,70287900
-0,49999999;4,70287900
-0,39999999;4,69365100
-0,29999999;4,68442400
-0,19999999;4,67519700
-0,10000000;4,66904500
0,00000000;4,66904500
0,10000000;4,67519700
0,19999999;4,68442400
0,29999999;4,69365100
0,39999999;4,70287900
0,49999999;4,70287900
0,59999998;4,69365100
0,69999998;4,68442400
0,79999998;4,67519700
0,89999997;4,66904500
0,99999997;4,66904500
1,09999997;4,67519700
1,19999997;4,68442400
1,29999996;4,69365100
1,39999996;4,70287900
1,49999996;4,70287900
1,59999995;4,69365100
1,69999995;4,68442400
1,79999995;4,67519700
1,89999995;4,66904500
1,99999994;4,66596900
2,09999994;4,66289300
2,19999994;4,65981800
2,29999993;4,65674200
2,39999993;4,64751400
2,49999993;4,62906000
2,59999993;4,61368100
2,69999992;4,60445400
2,79999992;4,61060500
2,89999992;4,64136300
2,99999992;4,69980300
3,09999991;4,77977300
3,19999991;4,88127400
3,29999991;4,99815400
3,39999990;5,11811000
3,49999990;5,22883800
3,59999990;5,33341500
3,69999990;5,42261300
3,79999989;5,50258300
3,89999989;5,57332700
3,99999989;5,62869100
4,09999988;5,67175200
4,19999988;5,70251000
4,29999988;5,71788800
4,39999988;5,71788800
4,49999987;5,69943300
4,59999987;5,67482800
4,69999987;5,64714500
4,79999986;5,62253900
4,89999986;5,60716000
4,99999986;5,59793300
5,09999986;5,59793300
5,19999985;5,59793300
5,29999985;5,59485700
5,39999985;5,58870600
5,49999984;5,57025100
5,59999984;5,55179600
5,69999984;5,54256900
5,79999984;5,54872000
5,89999983;5,57640200
5,99999983;5,63176600
6,09999983;5,71481200
6,19999982;5,81938900
6,29999982;5,93626900
6,39999982;6,05930100
6,49999982;6,17310500
6,59999981;6,27153000
6,69999981;6,36072800
6,79999981;6,44069800
6,89999980;6,50529000
6,99999980;6,56373000
7,09999980;6,60679100
7,19999980;6,64062500
7,29999979;6,65600300
7,39999979;6,65908000
7,49999979;6,64370100
7,59999979;6,61294300
7,69999978;6,58218500
7,79999978;6,55450200
7,89999978;6,53912400
7,99999977;6,53604800
8,09999977;6,54219900
8,19999977;6,55757800
8,29999977;6,57295700
8,39999976;6,58526000
8,49999976;6,58526000
8,59999976;6,57603300
8,69999975;6,56065400
8,79999975;6,54527500
8,89999975;6,53604800
8,99999975;6,53604800
9,09999974;6,54527500
9,19999974;6,56065400
9,29999974;6,57603300
9,39999973;6,58526000
9,49999973;6,58526000
9,59999973;6,57603300
9,69999973;6,56065400
9,79999972;6,54527500
9,89999972;6,53604800
