Tid;Kanal A
(ns);(mV)

-3,99999989;4,69365100
-3,89999989;4,73671200
-3,79999989;4,76439500
-3,69999990;4,77669700
-3,59999990;4,77362200
-3,49999990;4,75824300
-3,39999990;4,73363700
-3,29999991;4,70595500
-3,19999991;4,68442400
-3,09999991;4,66904500
-2,99999992;4,66596900
-2,89999992;4,67212100
-2,79999992;4,68134800
-2,69999992;4,69365100
-2,59999993;4,70287900
-2,49999993;4,70287900
-2,39999993;4,69365100
-2,29999993;4,68442400
-2,19999994;4,67519700
-2,09999994;4,66904500
-1,99999994;4,66596900
-1,89999995;4,66289300
-1,79999995;4,65981800
-1,69999995;4,65674200
-1,59999995;4,64751400
-1,49999996;4,62906000
-1,39999996;4,61368100
-1,29999996;4,60445400
-1,19999997;4,61368100
-1,09999997;4,64443900
-0,99999997;4,69672700
-0,89999997;4,77054600
-0,79999998;4,85974400
-0,69999998;4,95816900
-0,59999998;5,05967000
-0,49999999;5,15809500
-0,39999999;5,25036900
-0,29999999;5,34264200
-0,19999999;5,44106700
-0,10000000;5,54564400
0,00000000;5,65944900
0,10000000;5,77632800
0,19999999;5,89936000
0,29999999;6,01931600
0,39999999;6,13004400
0,49999999;6,22846900
0,59999998;6,31151500
0,69999998;6,38533400
0,79999998;6,44992600
0,89999997;6,50836600
0,99999997;6,56065400
1,09999997;6,60679100
1,19999997;6,63754800
1,29999996;6,65600300
1,39999996;6,65908000
1,49999996;6,64370100
1,59999995;6,61294300
1,69999995;6,58218500
1,79999995;6,55450200
1,89999995;6,53912400
1,99999994;6,53604800
2,09999994;6,54219900
2,19999994;6,55757800
2,29999993;6,57295700
2,39999993;6,58526000
2,49999993;6,58526000
2,59999993;6,57603300
2,69999992;6,56065400
2,79999992;6,54527500
2,89999992;6,53604800
2,99999992;6,53604800
3,09999991;6,54527500
3,19999991;6,56065400
3,29999991;6,57603300
3,39999990;6,58526000
3,49999990;6,58526000
3,59999990;6,57603300
3,69999990;6,56065400
3,79999989;6,54527500
3,89999989;6,53604800
3,99999989;6,53604800
4,09999988;6,54527500
4,19999988;6,56065400
4,29999988;6,57603300
4,39999988;6,58526000
4,49999987;6,58526000
4,59999987;6,57603300
4,69999987;6,56065400
4,79999986;6,54527500
4,89999986;6,53604800
4,99999986;6,53604800
5,09999986;6,54527500
5,19999985;6,56065400
5,29999985;6,57603300
5,39999985;6,58526000
5,49999984;6,58526000
5,59999984;6,57603300
5,69999984;6,56065400
5,79999984;6,54527500
5,89999983;6,53604800
5,99999983;6,53604800
6,09999983;6,54527500
6,19999982;6,56065400
6,29999982;6,57603300
6,39999982;6,58526000
6,49999982;6,58526000
6,59999981;6,57603300
6,69999981;6,56065400
6,79999981;6,54835100
6,89999980;6,53912400
6,99999980;6,53604800
7,09999980;6,53604800
7,19999980;6,53604800
7,29999979;6,53604800
7,39999979;6,52989600
7,49999979;6,51451700
7,59999979;6,49298700
7,69999978;6,47760800
7,79999978;6,48068400
7,89999978;6,51144200
7,99999977;6,56988100
8,09999977;6,66215500
8,19999977;6,77903500
8,29999977;6,91437000
8,39999976;7,05585600
8,49999976;7,18503900
8,59999976;7,29576700
8,69999975;7,37881300
8,79999975;7,43725300
8,89999975;7,46801100
8,99999975;7,46801100
9,09999974;7,43725300
9,19999974;7,37881300
9,29999974;7,29576700
9,39999973;7,18503900
9,49999973;7,05585600
9,59999973;6,91744600
9,69999973;6,78211100
9,79999972;6,66523100
9,89999972;6,57295700
