Tid;Kanal A
(ns);(V)

-3,99999989;0,88022880
-3,89999989;0,88152070
-3,79999989;0,88367370
-3,69999990;0,88601130
-3,59999990;0,88791830
-3,49999990;0,88822590
-3,39999990;0,88693400
-3,29999991;0,88484250
-3,19999991;0,88262800
-3,09999991;0,88078250
-2,99999992;0,87955220
-2,89999992;0,87899850
-2,79999992;0,87881400
-2,69999992;0,87838330
-2,59999993;0,87733760
-2,49999993;0,87475400
-2,39999993;0,87081690
-2,29999993;0,86675690
-2,19999994;0,86343500
-2,09999994;0,86158960
-1,99999994;0,86158960
-1,89999995;0,86343500
-1,79999995;0,86675690
-1,69999995;0,87081690
-1,59999995;0,87475400
-1,49999996;0,87733760
-1,39999996;0,87838330
-1,29999996;0,87875250
-1,19999997;0,87899850
-1,09999997;0,87955220
-0,99999997;0,88084400
-0,89999997;0,88287400
-0,79999998;0,88533470
-0,69999998;0,88767220
-0,59999998;0,88933320
-0,49999999;0,88933320
-0,39999999;0,88767220
-0,29999999;0,88527310
-0,19999999;0,88281250
-0,10000000;0,88078250
0,00000000;0,87961370
0,10000000;0,87918310
0,19999999;0,87924460
0,29999999;0,87918310
0,39999999;0,87844490
0,49999999;0,87616880
0,59999998;0,87247780
0,69999998;0,86841780
0,79999998;0,86472680
0,89999997;0,86214320
0,99999997;0,86091290
1,09999997;0,86109750
1,19999997;0,86232780
1,29999996;0,86398870
1,39999996;0,86528050
1,49999996;0,86528050
1,59999995;0,86398870
1,69999995;0,86232780
1,79999995;0,86109750
1,89999995;0,86091290
1,99999994;0,86214320
2,09999994;0,86472680
2,19999994;0,86841780
2,29999993;0,87247780
2,39999993;0,87616880
2,49999993;0,87844490
2,59999993;0,87918310
2,69999992;0,87924460
2,79999992;0,87924460
2,89999992;0,87961370
2,99999992;0,88072100
3,09999991;0,88256650
3,19999991;0,88484250
3,29999991;0,88687250
3,39999990;0,88822590
3,49999990;0,88791830
3,59999990;0,88601130
3,69999990;0,88367370
3,79999989;0,88158220
3,89999989;0,88029030
3,99999989;0,88022880
4,09999988;0,88127460
4,19999988;0,88318160
4,29999988;0,88527310
4,39999988;0,88674950
4,49999987;0,88674950
4,59999987;0,88527310
4,69999987;0,88318160
4,79999986;0,88127460
4,89999986;0,88022880
4,99999986;0,88029030
5,09999986;0,88158220
5,19999985;0,88367370
5,29999985;0,88601130
5,39999985;0,88791830
5,49999984;0,88822590
5,59999984;0,88693400
5,69999984;0,88484250
5,79999984;0,88262800
5,89999983;0,88078250
5,99999983;0,87955220
6,09999983;0,87899850
6,19999982;0,87881400
6,29999982;0,87838330
6,39999982;0,87733760
6,49999982;0,87475400
6,59999981;0,87081690
6,69999981;0,86675690
6,79999981;0,86343500
6,89999980;0,86158960
6,99999980;0,86158960
7,09999980;0,86343500
7,19999980;0,86675690
7,29999979;0,87081690
7,39999979;0,87475400
7,49999979;0,87733760
7,59999979;0,87838330
7,69999978;0,87875250
7,79999978;0,87899850
7,89999978;0,87955220
7,99999977;0,88084400
8,09999977;0,88287400
8,19999977;0,88533470
8,29999977;0,88767220
8,39999976;0,88933320
8,49999976;0,88933320
8,59999976;0,88767220
8,69999975;0,88533470
8,79999975;0,88287400
8,89999975;0,88084400
8,99999975;0,87955220
9,09999974;0,87899850
9,19999974;0,87875250
9,29999974;0,87838330
9,39999973;0,87733760
9,49999973;0,87475400
9,59999973;0,87081690
9,69999973;0,86675690
9,79999972;0,86343500
9,89999972;0,86158960
